"replicate","mle_mu","mle_xi","mle_tau","postmed_mu","postmed_xi","postmed_tau","true_mu","true_xi","true_tau","diff_postmed_mle_mu","diff_postmed_mle_xi","diff_postmed_mle_tau","diff_postmed_true_mu","diff_postmed_true_xi","diff_postmed_true_tau","edist_postmed_mle","edist_postmed_true"
76,10.1568961797998,0.120241601523807,2.1957608829534,10.1339857201554,0.129646925949,2.27853760491835,10,0.2,2,-0.0229104596443968,0.00940532442519344,0.0827767219649518,0.133985720155369,-0.0703530740509997,0.278537604918352,0.0864021700417507,0.316993573416924
77,9.82048037659556,0.0422071974021263,2.11386733486639,9.80784736825292,0.0321191810125577,2.20152127518897,10,0.2,2,-0.0126330083426449,-0.0100880163895686,0.0876539403225776,-0.192152631747085,-0.167880818987442,0.201521275188967,0.0891323410919714,0.32514216525239
78,10.0326382156912,0.136430524129424,1.87507771403635,10.0509693117359,0.137390078760198,1.96293443127503,10,0.2,2,0.0183310960447116,0.000959554630773601,0.0878567172386855,0.0509693117359351,-0.062609921239802,-0.0370655687249681,0.0897538444371505,0.0888354060124367
79,9.73218356057569,0.374249777465627,2.06046362402389,9.76458863229234,0.369257514180648,2.16931504558558,10,0.2,2,0.0324050717166529,-0.00499226328497909,0.108851421561687,-0.235411367707655,0.169257514180648,0.16931504558558,0.113682203275922,0.335759144051578
80,9.66158809393334,0.297090029143421,2.1194117281089,9.69722091383032,0.299710817314111,2.22015268011201,10,0.2,2,0.0356328198969802,0.00262078817069006,0.100740952003112,-0.302779086169677,0.0997108173141112,0.220152680112013,0.106889222070981,0.387407569197731
81,10.2251970509382,0.110307089854568,2.10385969773582,10.2013650465599,0.10884065083406,2.19692118043337,10,0.2,2,-0.0238320043783471,-0.00146643902050768,0.0930614826975504,0.201365046559868,-0.0911593491659395,0.196921180433371,0.0960757744593136,0.296033545767515
82,9.91407198166024,0.202350636797663,2.19067422897688,9.86265005316708,0.208651592570412,2.2253086204789,10,0.2,2,-0.0514219284931574,0.00630095577274858,0.0346343915020255,-0.137349946832918,0.00865159257041206,0.225308620478903,0.0623173960328984,0.264014833695223
83,10.1310873092771,0.192311091053898,2.26009777767272,10.128737618101,0.20760870403059,2.35562457324605,10,0.2,2,-0.00234969117605743,0.0152976129766927,0.0955267955733303,0.128737618101001,0.00760870403059027,0.355624573246049,0.0967724479586848,0.378285743569301
84,9.69579096788365,0.273379616591026,1.79494570914273,9.7067090965834,0.260830601584032,1.88044926765245,10,0.2,2,0.0109181286997462,-0.0125490150069934,0.0855035585097206,-0.293290903416604,0.0608306015840325,-0.119550732347553,0.0871064970583433,0.32250936997371
85,10.4697250807687,0.100648161591577,2.35146152150457,10.4079674434064,0.102457897861722,2.43589399886834,10,0.2,2,-0.0617576373623177,0.00180973627014518,0.0844324773637677,0.407967443406415,-0.0975421021382783,0.435893998868342,0.104623726523796,0.604942538443574
86,9.89945443242585,0.12716740162917,1.98344329892192,9.88363642606674,0.135326058112949,2.0460194421296,10,0.2,2,-0.0158180063591118,0.00815865648377848,0.0625761432076757,-0.11636357393326,-0.0646739418870514,0.0460194421295963,0.0650580256351569,0.140858046101918
87,9.27635950311806,0.367314771727998,1.46193712790519,9.26494498875744,0.363503715386407,1.52874509753451,10,0.2,2,-0.0114145143606201,-0.0038110563415914,0.0668079696293202,-0.735055011242558,0.163503715386407,-0.471254902465491,0.0678831355678254,0.888324556452041
88,9.95544365917466,0.227504078147199,1.7190794269477,9.95422038173055,0.220148635264346,1.80121044031619,10,0.2,2,-0.00122327744411699,-0.00735544288285264,0.082131013368496,-0.0457796182694548,0.0201486352643463,-0.198789559683807,0.082468795945159,0.204985438485748
89,9.96243365752436,0.156437259429113,1.56056320388985,9.96339266712973,0.161429910335656,1.62439635032265,10,0.2,2,0.000959009605368877,0.00499265090654319,0.0638331464327959,-0.0366073328702718,-0.0385700896643438,-0.37560364967735,0.0640352781364192,0.379349245798032
90,10.1130148132019,0.147995266477811,2.06208099810624,10.0819676219875,0.159066397546666,2.11088854344665,10,0.2,2,-0.0310471912144425,0.0110711310688554,0.0488075453404075,0.0819676219875038,-0.0409336024533336,0.11088854344665,0.0588954540487284,0.143841996412082
91,9.74778570745517,0.181214498168137,1.87782031813798,9.73172441232635,0.190047294473721,1.9558155743756,10,0.2,2,-0.0160612951288197,0.00883279630558373,0.0779952562376156,-0.268275587673651,-0.00995270552627933,-0.0441844256244015,0.0801201815235231,0.272071885274267
92,10.1907982642903,0.168729071186676,1.98952238694268,10.2048948869219,0.167924490211185,2.0711630541972,10,0.2,2,0.0140966226316195,-0.000804580975491409,0.0816406672545211,0.204894886921906,-0.0320755097888153,0.0711630541971986,0.0828526443146376,0.219259967384898
93,9.45240560911121,0.284411172648276,1.68318787582841,9.48815984187997,0.274915527969252,1.76090814108187,10,0.2,2,0.035754232768765,-0.00949564467902425,0.0777202652534645,-0.511840158120028,0.0749155279692519,-0.239091858918129,0.0860753859115496,0.569875074727939
94,10.3635112116798,0.319081276119464,2.37101787069293,10.3951122773079,0.321542208902739,2.46720175986798,10,0.2,2,0.0316010656280827,0.00246093278327553,0.0961838891750455,0.395112277307925,0.121542208902739,0.467201759867979,0.10127203007658,0.62382986835206
95,9.87217700894452,0.192241583417741,2.13237902227683,9.88560078134452,0.192777792453875,2.22185892409564,10,0.2,2,0.0134237724000013,0.000536209036134216,0.0894799018188088,-0.114399218655478,-0.00722220754612507,0.221858924095642,0.0904828050796456,0.249721292067174
96,10.2232189522276,0.0460996036239862,2.22952995651543,10.220480355302,0.0440402259957402,2.34088306863189,10,0.2,2,-0.00273859692562795,-0.00205937762824594,0.111353112116467,0.220480355301952,-0.15595977400426,0.340883068631895,0.111405819091102,0.434898039385592
97,9.72838896483477,0.31506880982883,2.05138116246136,9.70049208059386,0.326154807950024,2.13701349624363,10,0.2,2,-0.0278968842409046,0.0110859981211945,0.0856323337822791,-0.299507919406139,0.126154807950024,0.137013496243634,0.0907415676175655,0.352693531991737
98,9.9130169230179,0.205243145055187,1.98273651682226,9.85506659534822,0.219578234934451,2.01250028070351,10,0.2,2,-0.0579503276696869,0.0143350898792637,0.0297637638812527,-0.144933404651782,0.0195782349344506,0.0125002807035139,0.0667054489472158,0.146783023830321
99,9.44160790582977,0.469928177213393,1.56191795644342,9.47117083967506,0.469845679397875,1.65887019250056,10,0.2,2,0.0295629338452912,-8.24978155187228e-05,0.0969522360571413,-0.528829160324943,0.269845679397875,-0.341129807499438,0.101359311066672,0.684723679351231
100,10.2056799150355,0.0910995066508025,2.36158671963193,10.1963348385557,0.0717792362051472,2.44443699213775,10,0.2,2,-0.00934507647981064,-0.0193202704456553,0.0828502725058198,0.196334838555735,-0.128220763794853,0.444436992137751,0.0855848757596537,0.502505893576676
